Age,Hours per day,While working,Instrumentalist,Composer,Exploratory,Foreign languages,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD
-0.5997521315420901,-0.18800254183886034,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,3.0,2.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0
3.127450101191423,-0.6872947453811573,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,7.0,2.0,2.0,1.0
-0.5997521315420901,0.14485892718933768,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,7.0,7.0,10.0,2.0
2.961796668625489,-0.35443327635295935,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,9.0,7.0,3.0,3.0
-0.5997521315420901,0.14485892718933768,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,2.0,0.0,2.0,3.0,3.0,0.0,1.0,7.0,2.0,5.0,9.0
-0.5997521315420901,0.4777203962175357,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,8.0,8.0,7.0,7.0
-0.5997521315420901,-0.18800254183886034,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,8.0,6.0,0.0
-0.35127198269318916,-0.8537254798952564,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,5.0,3.0,5.0,3.0
-0.5169254152591231,0.8105818652457337,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0
-0.5997521315420901,-0.8537254798952564,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0
-0.5997521315420901,-0.18800254183886034,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,7.0,4.0,7.0
-0.5169254152591231,1.4763048033021295,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0
-0.5169254152591231,-0.5208640108670584,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0
-0.5997521315420901,0.14485892718933768,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,6.0,4.0,7.0,0.0
-0.682578847825057,-0.5208640108670584,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,7.0,5.0,4.0,1.0
-0.765405564108024,1.4763048033021295,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,8.0,8.0,4.0,3.0
-0.765405564108024,2.8077506794149216,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,5.0,7.0,10.0,0.0
-0.682578847825057,6.802088307753298,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,0.0,7.0,5.0,0.0,3.0
-0.848232280390991,-0.18800254183886034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,7.0,3.0,0.0,2.0
-0.848232280390991,1.4763048033021295,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,6.0,9.0,3.0,0.0
-0.682578847825057,0.14485892718933768,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,2.0,0.0,10.0,10.0,2.0,4.0
-0.5169254152591231,0.4777203962175357,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,6.0,7.0,5.0,4.0
-0.5997521315420901,-0.5208640108670584,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,8.0,6.0
-0.765405564108024,-0.18800254183886034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,10.0,6.0,8.0,10.0
-0.5997521315420901,-0.5208640108670584,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,7.0,4.0,2.0,5.0
-0.9310589966739579,2.8077506794149216,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,8.0,6.0,10.0,5.0
-0.5997521315420901,0.8105818652457337,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,3.0,2.0,1.0,2.0
-0.682578847825057,-0.5208640108670584,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,6.0,6.0,4.0,5.0
-0.682578847825057,-0.8537254798952564,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,1.0,5.0
-0.4340986989761561,0.4777203962175357,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,3.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,7.0,7.0,2.0,0.0
-0.5169254152591231,-0.5208640108670584,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,3.0
-0.5169254152591231,0.8105818652457337,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,9.0,8.0,2.0,3.0
-0.682578847825057,0.14485892718933768,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,5.0,6.0,6.0,1.0
-0.765405564108024,-0.8537254798952564,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.5997521315420901,0.4777203962175357,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0
-0.35127198269318916,0.14485892718933768,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,6.0,8.0,0.0,2.0
-0.682578847825057,-0.18800254183886034,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,3.0,3.0,0.0,2.0,0.0,4.0,0.0
