iter	RMSE
0	2.777682588
1	2.764578893
2	2.750671659
3	2.737397859
4	2.724681803
5	2.712406703
6	2.699978718
7	2.689409283
8	2.679112397
9	2.666134252
10	2.652522021
11	2.638520731
12	2.629382711
13	2.620809851
14	2.612006374
15	2.60115924
16	2.591570027
17	2.581761617
18	2.573872744
19	2.565208264
20	2.557397316
21	2.551547942
22	2.545621924
23	2.535932919
24	2.527842969
25	2.518095534
26	2.510276849
27	2.505461277
28	2.500369102
29	2.491078192
30	2.483039741
31	2.475345567
32	2.468843463
33	2.462170063
34	2.458598708
35	2.450258503
36	2.442537123
37	2.435001575
38	2.429798538
39	2.424497715
40	2.418329621
41	2.408874125
42	2.401630059
43	2.395527845
44	2.388444892
45	2.380184589
46	2.374666895
47	2.368026325
48	2.359453922
49	2.355587896
50	2.350066751
51	2.34722669
52	2.340475944
53	2.334062411
54	2.329007649
55	2.324723918
56	2.321926385
57	2.314707294
58	2.30827686
59	2.300811071
60	2.294018549
61	2.2901419
62	2.284873915
63	2.276387551
64	2.269176752
65	2.260550492
66	2.254327216
67	2.249367202
68	2.244516749
69	2.238122108
70	2.22980998
71	2.224518323
72	2.215676717
73	2.209078433
74	2.201272551
75	2.195248712
76	2.189818927
77	2.182820583
78	2.177447821
79	2.17265372
80	2.167902059
81	2.163789392
82	2.159548257
83	2.154564492
84	2.148550023
85	2.145446312
86	2.138214151
87	2.135859209
88	2.129847851
89	2.122134719
90	2.117796526
91	2.111912223
92	2.106810985
93	2.099730242
94	2.095335097
95	2.089547873
96	2.083840958
97	2.076282558
98	2.070543194
99	2.0628577
100	2.057245079
101	2.051540194
102	2.046847962
103	2.042445826
104	2.037753743
105	2.030822736
106	2.028079725
107	2.023791342
108	2.018608728
109	2.011184
110	2.009739319
111	2.001497756
112	1.994133622
113	1.989728114
114	1.981789785
115	1.977571091
116	1.973242335
117	1.96900361
118	1.96395279
119	1.958957872
120	1.95022032
121	1.945466514
122	1.939616587
123	1.937118579
124	1.931942259
125	1.927215196
126	1.921993177
127	1.914568148
128	1.908979762
129	1.905452062
