iter	Passed	Remaining
0	0	259
1	0	239
2	1	215
3	1	217
4	2	235
5	2	239
6	3	238
7	3	241
8	4	241
9	4	233
10	5	228
11	5	223
12	5	221
13	6	218
14	6	213
15	6	209
16	7	206
17	7	203
18	7	200
19	8	198
20	8	195
21	8	193
22	9	193
23	9	193
24	10	192
25	10	191
26	10	190
27	11	190
28	11	189
29	12	190
30	12	189
31	12	190
32	13	189
33	13	191
34	14	191
35	14	190
36	15	190
37	15	189
38	16	189
39	16	189
40	17	191
41	17	192
42	18	192
43	18	193
44	19	193
45	19	193
46	20	194
47	20	194
48	21	194
49	21	193
50	22	193
51	22	193
52	22	193
53	23	193
54	23	193
55	24	193
56	24	193
57	25	194
58	25	194
59	26	193
60	26	194
61	27	194
62	28	195
63	28	194
64	29	194
65	29	194
66	30	193
67	30	193
68	31	194
69	31	195
70	32	197
71	33	197
72	33	197
73	34	197
74	34	198
75	35	198
76	36	197
77	36	198
78	37	197
79	37	197
80	38	197
81	38	197
82	39	197
83	39	198
84	40	197
85	40	196
86	41	196
87	41	195
88	42	195
89	42	195
90	43	194
91	43	193
92	44	193
93	44	193
94	45	193
95	45	192
96	46	192
97	46	192
98	47	192
99	47	191
100	48	191
101	48	190
102	49	190
103	49	189
104	50	189
105	50	189
106	51	188
107	51	188
108	52	188
109	53	187
110	53	187
111	54	187
112	54	186
113	54	186
114	55	185
115	56	185
116	56	185
117	57	184
118	57	184
119	58	183
120	58	183
121	59	182
122	59	182
123	60	182
124	60	181
125	61	182
126	61	181
127	62	181
128	63	181
129	63	181
130	64	181
131	65	181
132	65	181
133	66	181
134	66	180
135	67	179
136	67	179
137	68	179
138	69	180
139	70	180
140	70	180
141	71	180
142	71	179
143	72	178
144	72	178
145	73	177
146	73	176
147	74	176
148	74	175
149	74	174
150	75	173
151	75	173
152	76	173
153	77	173
154	77	173
155	78	173
156	79	172
157	79	172
